2024/08/26 03:14:59 PM > ep 19 done. total_steps=1080 | reward=-29 | episode_steps=71 | hours=0.005 | epsilon=0.953
2024/08/26 03:15:00 PM > ep 20 done. total_steps=1166 | reward=-14 | episode_steps=86 | hours=0.005 | epsilon=0.949
2024/08/26 03:15:02 PM > ep 21 done. total_steps=1263 | reward=-3 | episode_steps=97 | hours=0.006 | epsilon=0.945
2024/08/26 03:15:03 PM > ep 22 done. total_steps=1330 | reward=-33 | episode_steps=67 | hours=0.006 | epsilon=0.942
2024/08/26 03:15:04 PM > ep 23 done. total_steps=1409 | reward=-21 | episode_steps=79 | hours=0.006 | epsilon=0.939
2024/08/26 03:15:06 PM > ep 24 done. total_steps=1526 | reward=17 | episode_steps=117 | hours=0.007 | epsilon=0.934
2024/08/26 03:15:07 PM > ep 25 done. total_steps=1606 | reward=-20 | episode_steps=80 | hours=0.007 | epsilon=0.931
2024/08/26 03:15:08 PM > ep 26 done. total_steps=1689 | reward=-17 | episode_steps=83 | hours=0.007 | epsilon=0.927
2024/08/26 03:15:10 PM > ep 27 done. total_steps=1822 | reward=33 | episode_steps=133 | hours=0.008 | epsilon=0.922
2024/08/26 03:15:12 PM > ep 28 done. total_steps=1913 | reward=-9 | episode_steps=91 | hours=0.008 | epsilon=0.918
2024/08/26 03:15:13 PM > ep 29 done. total_steps=2020 | reward=7 | episode_steps=107 | hours=0.009 | epsilon=0.914
2024/08/26 03:15:15 PM > ep 30 done. total_steps=2139 | reward=19 | episode_steps=119 | hours=0.009 | epsilon=0.909
2024/08/26 03:15:17 PM > ep 31 done. total_steps=2259 | reward=20 | episode_steps=120 | hours=0.010 | epsilon=0.904
2024/08/26 03:15:18 PM > ep 32 done. total_steps=2342 | reward=-17 | episode_steps=83 | hours=0.010 | epsilon=0.901
2024/08/26 03:15:20 PM > ep 33 done. total_steps=2453 | reward=11 | episode_steps=111 | hours=0.011 | epsilon=0.896
2024/08/26 03:15:22 PM > ep 34 done. total_steps=2569 | reward=16 | episode_steps=116 | hours=0.011 | epsilon=0.892
2024/08/26 03:15:23 PM > ep 35 done. total_steps=2654 | reward=-15 | episode_steps=85 | hours=0.012 | epsilon=0.888
2024/08/26 03:15:25 PM > ep 36 done. total_steps=2741 | reward=-13 | episode_steps=87 | hours=0.012 | epsilon=0.885
2024/08/26 03:15:26 PM > ep 37 done. total_steps=2840 | reward=-1 | episode_steps=99 | hours=0.012 | epsilon=0.881
2024/08/26 03:15:27 PM > ep 38 done. total_steps=2916 | reward=-24 | episode_steps=76 | hours=0.013 | epsilon=0.878
2024/08/26 03:15:29 PM > ep 39 done. total_steps=3000 | reward=-16 | episode_steps=84 | hours=0.013 | epsilon=0.875
2024/08/26 03:15:30 PM > ep 40 done. total_steps=3091 | reward=-9 | episode_steps=91 | hours=0.013 | epsilon=0.871
2024/08/26 03:15:32 PM > ep 41 done. total_steps=3206 | reward=15 | episode_steps=115 | hours=0.014 | epsilon=0.867
2024/08/26 03:15:34 PM > ep 42 done. total_steps=3321 | reward=15 | episode_steps=115 | hours=0.014 | epsilon=0.862
2024/08/26 03:15:35 PM > ep 43 done. total_steps=3407 | reward=-14 | episode_steps=86 | hours=0.015 | epsilon=0.859
2024/08/26 03:15:37 PM > ep 44 done. total_steps=3518 | reward=11 | episode_steps=111 | hours=0.015 | epsilon=0.855
2024/08/26 03:15:38 PM > ep 45 done. total_steps=3612 | reward=-6 | episode_steps=94 | hours=0.016 | epsilon=0.851
2024/08/26 03:15:40 PM > ep 46 done. total_steps=3703 | reward=-9 | episode_steps=91 | hours=0.016 | epsilon=0.848
2024/08/26 03:15:41 PM > ep 47 done. total_steps=3819 | reward=16 | episode_steps=116 | hours=0.017 | epsilon=0.844
2024/08/26 03:15:43 PM > ep 48 done. total_steps=3901 | reward=-18 | episode_steps=82 | hours=0.017 | epsilon=0.841
2024/08/26 03:15:44 PM > ep 49 done. total_steps=3955 | reward=-46 | episode_steps=54 | hours=0.017 | epsilon=0.839
2024/08/26 03:15:46 PM > ep 50 done. total_steps=4093 | reward=38 | episode_steps=138 | hours=0.018 | epsilon=0.833
2024/08/26 03:15:47 PM > ep 51 done. total_steps=4194 | reward=1 | episode_steps=101 | hours=0.018 | epsilon=0.830
2024/08/26 03:15:49 PM > ep 52 done. total_steps=4291 | reward=-3 | episode_steps=97 | hours=0.019 | epsilon=0.826
2024/08/26 03:15:50 PM > ep 53 done. total_steps=4380 | reward=-11 | episode_steps=89 | hours=0.019 | epsilon=0.823
2024/08/26 03:15:52 PM > ep 54 done. total_steps=4487 | reward=7 | episode_steps=107 | hours=0.020 | epsilon=0.819
