2024/08/24 04:24:57 PM > ep 98 done. total_steps=8199 | reward=-7 | episode_steps=94 | hours=0.020 | epsilon=0.697
2024/08/24 04:24:57 PM > ep 99 done. total_steps=8288 | reward=-12 | episode_steps=89 | hours=0.021 | epsilon=0.695
2024/08/24 04:24:58 PM > ep 100 done. total_steps=8408 | reward=19 | episode_steps=120 | hours=0.021 | epsilon=0.691
2024/08/24 04:24:59 PM > ep 101 done. total_steps=8513 | reward=4 | episode_steps=105 | hours=0.021 | epsilon=0.688
2024/08/24 04:25:00 PM > ep 102 done. total_steps=8608 | reward=-6 | episode_steps=95 | hours=0.021 | epsilon=0.685
2024/08/24 04:25:01 PM > ep 103 done. total_steps=8692 | reward=-17 | episode_steps=84 | hours=0.022 | epsilon=0.683
2024/08/24 04:25:02 PM > ep 104 done. total_steps=8800 | reward=7 | episode_steps=108 | hours=0.022 | epsilon=0.680
2024/08/24 04:25:03 PM > ep 105 done. total_steps=8908 | reward=7 | episode_steps=108 | hours=0.022 | epsilon=0.677
2024/08/24 04:25:04 PM > ep 106 done. total_steps=8981 | reward=-28 | episode_steps=73 | hours=0.022 | epsilon=0.674
2024/08/24 04:25:05 PM > ep 107 done. total_steps=9095 | reward=13 | episode_steps=114 | hours=0.023 | epsilon=0.671
2024/08/24 04:25:05 PM > ep 108 done. total_steps=9198 | reward=2 | episode_steps=103 | hours=0.023 | epsilon=0.668
2024/08/24 04:25:06 PM > ep 109 done. total_steps=9286 | reward=-13 | episode_steps=88 | hours=0.023 | epsilon=0.666
2024/08/24 04:25:07 PM > ep 110 done. total_steps=9369 | reward=-18 | episode_steps=83 | hours=0.023 | epsilon=0.663
2024/08/24 04:25:08 PM > ep 111 done. total_steps=9468 | reward=-2 | episode_steps=99 | hours=0.023 | epsilon=0.661
2024/08/24 04:25:09 PM > ep 112 done. total_steps=9549 | reward=-20 | episode_steps=81 | hours=0.024 | epsilon=0.658
2024/08/24 04:25:09 PM > ep 113 done. total_steps=9623 | reward=-27 | episode_steps=74 | hours=0.024 | epsilon=0.656
2024/08/24 04:25:10 PM > ep 114 done. total_steps=9681 | reward=-43 | episode_steps=58 | hours=0.024 | epsilon=0.655
2024/08/24 04:25:11 PM > ep 115 done. total_steps=9803 | reward=21 | episode_steps=122 | hours=0.024 | epsilon=0.651
